"Course Name","Course Link","Responses","Average Rating","Satisfaction","Objectives","Relevance","Platform","Total Learners","Learner Display Text","Tags"
"1-Handed Knot-Tying","https://www.surghub.org/course/btk-1-handed-knot-tying","203","4.5","4.55","4.6","4.53","4.62","630","630+ learners","Free, Popular"
"2-Handed Knot-Tying","https://www.surghub.org/course/btk-2-handed-knot-tying","142","4.6","4.56","4.58","4.5","4.64","424","420+ learners","Free"
"A Crash Course in Facial Fractures","https://www.surghub.org/course/facial-trauma","317","4.7","4.68","4.64","4.64","4.63","1522","1,520+ learners","Free, Popular"
"Acide Tranexamique","https://www.surghub.org/course/acide-tranexamique","66","4.7","4.67","4.56","4.58","4.51","323","320+ learners","Free, CPD/CME"
"Acute Burn Care","https://www.surghub.org/course/acute-burn-care","158","4.7","4.66","4.69","4.63","4.79","513","510+ learners","Free, Popular"
"Acute Mesenteric Ischemia","https://www.surghub.org/course/btk-acute-mesenteric-ischemia","88","4.7","4.67","4.59","4.69","4.73","288","280+ learners","Free"
"Adjuvant Medications for Peripheral Nerve Blocks","https://www.surghub.org/course/adjuvant-medications-peripheral-nerve-blocks","186","4.6","4.6","4.62","4.55","4.61","537","530+ learners","Free, Popular"
"All About Aseptic Technique","https://www.surghub.org/course/aseptic-technique","420","4.5","4.47","4.47","4.41","4.49","707","700+ learners","Free, Popular"
"Anaesthesia for Caesarean Delivery","https://www.surghub.org/course/anaesthesia-caesarean-delivery","312","4.6","4.57","4.59","4.53","4.63","976","970+ learners","Free, Popular, CPD/CME"
"Anaesthesia for Craniotomy and Brain Tumour Resection","https://www.surghub.org/course/anesthesia-for-craniotomy","151","4.5","4.46","4.48","4.45","4.49","442","440+ learners","Free, CPD/CME"
"Anaesthesia for Posterior Cranial Fossa Surgery","https://www.surghub.org/course/anaesthesia-posterior-cranial-fossa-surgery","59","4.7","4.71","4.68","4.69","4.74","183","180+ learners","Free, CPD/CME"
"Anaesthesia for Tissue Free-Flap Surgery","https://www.surghub.org/course/anaesthesia-tissue-free-flap-surgery","65","4.6","4.57","4.58","4.52","4.59","180","180+ learners","Free"
"Anaesthesia in War","https://www.surghub.org/course/anaesthesia-in-war","56","4.7","4.7","4.59","4.64","4.49","537","530+ learners","Free, CPD/CME"
"Anaesthetic Considerations for Vaginal Birth After Caesarean Delivery","https://www.surghub.org/course/anaesthetic-considerations-vaginal-birth-after-caesarean-delivery","95","4.7","4.71","4.64","4.64","4.58","311","310+ learners","Free, CPD/CME"
"Anestesia para Craneotomía y Resección de Tumor Cerebral","https://www.surghub.org/course/anestesia-craneotomia-reseccion-tumor-cerebral","22","4.9","4.86","4.86","4.86","4.82","100","100+ learners","Free, CPD/CME"
"Appendicitis","https://www.surghub.org/course/acute-appendicitis","118","4.7","4.65","4.61","4.64","4.65","635","630+ learners","Free, Popular"
"Apprendre et Transmettre l'Anesthésie Locorégionale Echoguidée en toute Sécurité","https://www.surghub.org/course/anesthesie-locoregionale-echoguidee","218","4.6","4.57","4.38","4.47","4.12","557","550+ learners","Free"
"Basic Burn Management","https://www.surghub.org/course/tecsalud-basic-burn-management","137","4.5","4.49","4.5","4.44","4.6","434","430+ learners","Free"
"Basic Caesarean Section","https://www.surghub.org/course/basic-caesarean-section","80","4.5","4.46","4.44","4.34","4.61","340","340+ learners","Free"
"Basic Principles of Wound Management","https://www.surghub.org/course/tecsalud-basic-principles-wound-management","534","4.4","4.43","4.46","4.43","4.61","1333","1,330+ learners","Free, Popular"
"Blast Injuries","https://www.surghub.org/course/blast-injuries","79","4.7","4.67","4.67","4.56","4.7","297","290+ learners","Free"
"Blood Sparing Techniques in Paediatric Anaesthesia","https://www.surghub.org/course/blood-sparing-paediatric-anaesthesia","73","4.6","4.63","4.56","4.49","4.59","175","170+ learners","Free"
"Brain Death","https://www.surghub.org/course/brain-death-behind-the-knife-big-t-trauma-series","49","4.6","4.63","4.61","4.64","4.68","214","210+ learners","Free"
