"Course Name","Rank","Original Comment","Comment for SURGhub","Profession","Country","Star Rating","Used","check for cnd (dont touch)","","","","","","","","","","","","","","","",""
"1-Handed Knot-Tying","1","This course appears to cover critical aspects of clinical reasoning, trauma management, and knot-tying techniques, all of which are essential for surgical practice. Here are some particularly interesting aspects are Clinical Problem Solving,Diagnostic Approaches,Surgical Technique Mastery etc.","""This course appears to cover critical aspects of clinical reasoning, trauma management, and knot-tying techniques, all of which are essential for surgical practice.""","Medical Student","Myanmar","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","2","All aspects of the course is very interesting and I can attest that I gained some knowledge. Thanks","""All aspects of the course are very interesting and I can attest that I gained some knowledge. Thanks.""","General Medical Officer","Nigeria","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","3","The practical demonstrations and real-world case studies made the concepts easier to understand and apply.","""The practical demonstrations and real-world case studies made the concepts easier to understand and apply.""","Nurse","Kenya","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","4","The fact that the course was offered for people whole are right handed and left handed was interesting and insightful.","""The fact that the course was offered for people who are right handed and left handed was interesting and insightful.""","Medical Student","India","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","5","Crisp and accurate. The type of content that is to be advocated by attendings and consultants.","""Crisp and accurate. The type of content that is to be advocated by attendings and consultants.""","","","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","6","You did a great job in organising this course content and the platform was wow. Keep it up.","""You did a great job in organising this course content and the platform was wow. Keep it up.""","Nurse Anaesthetist","Nigeria","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"1-Handed Knot-Tying","7","Correcting my longstanding mistake of not crossing hands while doing one handed knot","""I found this course correcting my longstanding mistake of not crossing hands while doing one handed knot.""","Specialist Surgeon","Uganda","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"2-Handed Knot-Tying","1","One-handed knot tying is an essential skill for surgeons, especially in situations where space is limited or when one hand is needed to maintain tension. However, whether one-handed or two-handed techniques are more advantageous depends on speed and security","""One-handed knot tying is an essential skill for surgeons, especially in situations where space is limited or when one hand is needed to maintain tension. However, whether one-handed or two-handed techniques are more advantageous depends on speed and security.""","Medical Student","Myanmar","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"2-Handed Knot-Tying","2","The demonstration and description was simple and easy to understand.","""The demonstration and description was simple and easy to understand.""","Medical Student","Kenya","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"2-Handed Knot-Tying","3","The video tutorial was in great detail without any rush","""The video tutorial was in great detail without any rush.""","Medical Student","Nepal","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"2-Handed Knot-Tying","4","I gained skills in knot tying","""I gained skills in knot tying.""","General Medical Officer","Kenya","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"2-Handed Knot-Tying","5","The speed was quite on time and the fact that everything said was transcripted.","""The speed was quite on time and I liked the fact that everything said was transcripted.""","Medical Student","Kenya","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"A Crash Course in Facial Fractures","1","I found the systematic approach to facial trauma assessment and management particularly valuable, especially the integration of anatomy, mechanism of injury, and surgical planning. The case-based discussions on complex midface and mandibular fractures, as well as the emphasis on restoring both function and facial aesthetics, were especially enriching. The practical insights into fixation strategies and sequencing of repair provided clear guidance applicable to real clinical scenarios.","""I found the systematic approach to facial trauma assessment and management particularly valuable, especially the integration of anatomy, mechanism of injury, and surgical planning. The case-based discussions were especially enriching.""","Specialist Surgeon","Colombia","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"A Crash Course in Facial Fractures","2","“The aspect I found most interesting in this course was the comprehensive integration of facial anatomy, fracture classification, and evidence-based management principles. The systematic approach to radiographic interpretation, combined with case-based discussions, offered a clear understanding of how clinical findings correlate with imaging. Additionally, the emphasis on interdisciplinary coordination in trauma care highlighted the complexity and precision required in managing facial fractures, making the overall learning experience both intellectually engaging and clinically relevant.”","""This course offered a comprehensive yet systematic look at facial anatomy, fracture classification, and evidence-based management. The case-based approach clearly connected clinical findings with imaging, and the focus on interdisciplinary trauma care made it both intellectually engaging and clinically relevant.”","Dentist","India","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"A Crash Course in Facial Fractures","3","Explaining procedures from real patient images made the topic more comprehensible and understandable for me. Even though I am not a specialist of plastic surgery and unfamiliar to those techniques, I could easily learn how to approach to a trauma patient.","""Explaining procedures from real patient images made the topic much more understandable. Even though I am not a plastic surgery specialist and unfamiliar with these techniques, I could easily learn how to approach a trauma patient.""","General Medical Officer","Turkey","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acide Tranexamique","1","Parmi les aspects les plus intéressants du cours sur l’acide tranexamique, j’ai particulièrement apprécié : La clarté des explications sur le mécanisme d’action, notamment la fibrinolyse et l’impact sur la stabilisation du caillot. Les applications cliniques concrètes, illustrées par des cas en traumatologie, obstétrique et chirurgie orthopédique. Les recommandations internationales (OMS, CRASH-2, WOMAN) qui renforcent la pertinence du traitement en contexte humanitaire. Le format interactif et structuré, avec des points-clés, un quiz final et la possibilité de télécharger le support PDF. Ce cours m’a permis de consolider mes connaissances tout en les reliant à mes pratiques de terrain, notamment dans les contextes à haut risque hémorragique.","""J'ai particulièrement apprécié la clarté des explications sur le mécanisme d'action de l'acide tranexamique, les applications cliniques concrètes en traumatologie, obstétrique et chirurgie orthopédique, ainsi que les recommandations internationales. Le format interactif et structuré, avec des points-clés, un quiz final et la possibilité de télécharger le support PDF. Ce cours m'a permis de consolider mes connaissances et de les relier directement à mes pratiques de terrain.""","Infirmière","Tchad","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acide Tranexamique","2","J'ai trouvé particulièrement intéressant l'apprentissage des techniques chirurgicales avancées et des approches utilisées dans des contextes variés, notamment la chirurgie globale. La gestion des complications post-opératoires et l'intégration de la médecine préventive m'ont aussi beaucoup marqué. Cela m'a permis d'acquérir une vision plus complète de la pratique chirurgicale.""","""J'ai trouvé particulièrement intéressant l'apprentissage des techniques chirurgicales avancées et des approches utilisées dans des contextes variés, notamment la chirurgie globale. La gestion des complications post-opératoires et l'intégration de la médecine préventive m'ont aussi beaucoup marqué. Cela m'a permis d'acquérir une vision plus complète de la pratique chirurgicale.""","Étudiant en médecine","Myanmar","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acide Tranexamique","3","Que le quiz soit en français pour permettre à ceux qui ont un niveau basal en anglais de pouvoir bien repondre","""J'ai apprécié que le quiz soit en français, permettant à ceux qui ont un niveau de base en anglais de pouvoir bien répondre.""","Infirmière","Sénégal","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Burn Care","1","How big of an impact being in a low income environment is in the severity of burn injury outcomes.","""I found most interested learning about how big of an impact being in a low income environment is in the severity of burn injury outcomes.""","General Medical Officer","Philippines","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Burn Care","2","Chapter 4 is amazing, all the different cases and photos showing different presentations and different types and depths, very informative for assessing burns. Loved","""Chapter 4 is amazing. All the different cases and photos showing different presentations and different types and depths, very informative for assessing burns. Loved.""","Specialist Surgeon","Jamaica","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Burn Care","3","Well-structured and informative, especially for practical burn management. Clear presentation of key concepts.","""Well-structured and informative, especially for practical burn management. Clear presentation of key concepts.""","Nurse","Tanzania","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Burn Care","4","A comprehensively clarified approach to burn patient management.","""A comprehensively clarified approach to burn patient management.""","Resident","Nigeria","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Mesenteric Ischemia","1","The sequence. i.e., podcast, transcript and assessment. It helps the learner to grasp the concepts very well.","""I found the sequence of the course helpful (podcast, transcript and assessment). It helps the learner to grasp the concepts very well.""","Practicing General Surgeon","Sierra Leone","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Mesenteric Ischemia","2","the one on one interview and back and forth conversation with thorough storytelling of the case","""I found the one on one interview and back and forth conversation with thorough storytelling of the case to be valuable.""","Medical Student","Saudi Arabia","4","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Mesenteric Ischemia","3","It is very interesting and you wont kow how you go deep into the topic","""It is very interesting and you wont kow how you go deep into the topic.""","Nurse","India","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Mesenteric Ischemia","4","management of difwrent tipes of obstruction","""I found most interesting the management of different types of obstruction.""","Specialist Surgeon","Montenegro","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
"Acute Mesenteric Ischemia","5","Excellent presentation thank you very much","""Excellent presentation thank you very much.""","Specialist Surgeon","Saudi Arabia","5","FALSE","FALSE","","7/9/2026","TRUE","","","","","","","","","","","","",""
